,Iteration,Group,Flow,Flow_MMgal,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time
101,9,Greenville,666000.0,0.666,1.451,0.197,5.493
102,9,Jonesboro,963000.0,0.963,1.0,4.348,3.559
103,9,Little Rock,2529000.0,2.529,2.555,0.0,4.867
104,9,Owensboro,747000.0,0.747,3.192,0.016,4.264
105,9,Paducah,648000.0,0.648,1.674,0.648,4.22
106,9,Princeton,324000.0,0.324,2.571,0.06,3.852
107,9,Robinson,432000.0,0.432,2.182,0.005,5.973
108,9,St. Louis,3420000.0,3.42,1.696,1.878,1.86
109,9,Wood River,558000.0,0.558,3.1,0.0,4.785
110,10,Cape Girardeau,783000.0,0.783,2.231,0.091,5.038
111,10,Evansville,837000.0,0.837,2.906,0.0,3.954
112,10,Greenville,675000.0,0.675,1.471,0.163,5.054
113,10,Jonesboro,945000.0,0.945,1.0,4.314,3.77
114,10,Little Rock,2610000.0,2.61,2.636,0.002,4.656
115,10,Owensboro,765000.0,0.765,3.269,0.018,3.833
116,10,Paducah,675000.0,0.675,1.744,0.686,3.964
117,10,Princeton,324000.0,0.324,2.571,0.068,3.968
118,10,Robinson,477000.0,0.477,2.409,0.004,5.815
119,10,St. Louis,3366000.0,3.366,1.67,1.934,1.787
120,10,Wood River,558000.0,0.558,3.1,0.0,4.291
121,11,Cape Girardeau,783000.0,0.783,2.231,0.083,4.955
122,11,Evansville,810000.0,0.81,2.813,0.0,4.17
123,11,Greenville,747000.0,0.747,1.627,0.134,5.239
124,11,Jonesboro,945000.0,0.945,1.01,4.221,3.752
125,11,Little Rock,2574000.0,2.574,2.6,0.001,4.612
126,11,Owensboro,702000.0,0.702,3.0,0.019,4.433
127,11,Paducah,648000.0,0.648,1.674,0.688,3.997
128,11,Princeton,342000.0,0.342,2.714,0.046,4.107
129,11,Robinson,459000.0,0.459,2.318,0.003,5.318
130,11,St. Louis,3375000.0,3.375,1.674,1.88,1.973
131,11,Wood River,531000.0,0.531,2.95,0.0,4.277
132,12,Cape Girardeau,747000.0,0.747,2.128,0.095,5.075
133,12,Evansville,819000.0,0.819,2.844,0.0,4.261
134,12,Greenville,711000.0,0.711,1.549,0.191,5.045
135,12,Jonesboro,954000.0,0.954,1.01,4.274,3.687
136,12,Little Rock,2439000.0,2.439,2.464,0.002,4.634
137,12,Owensboro,765000.0,0.765,3.269,0.018,4.338
138,12,Paducah,675000.0,0.675,1.744,0.624,4.052
139,12,Princeton,279000.0,0.279,2.214,0.086,3.362
140,12,Robinson,468000.0,0.468,2.364,0.007,5.682
141,12,St. Louis,3411000.0,3.411,1.692,1.77,2.007
142,12,Wood River,495000.0,0.495,2.75,0.0,4.777
143,13,Cape Girardeau,729000.0,0.729,2.077,0.073,5.349
144,13,Evansville,864000.0,0.864,3.0,0.0,4.604
145,13,Greenville,684000.0,0.684,1.49,0.211,5.142
146,13,Jonesboro,981000.0,0.981,1.009,4.352,3.721
147,13,Little Rock,2574000.0,2.574,2.6,0.002,4.703
148,13,Owensboro,720000.0,0.72,3.077,0.01,4.791
149,13,Paducah,657000.0,0.657,1.698,0.641,4.015
150,13,Princeton,315000.0,0.315,2.5,0.098,3.616
151,13,Robinson,459000.0,0.459,2.318,0.003,5.396
152,13,St. Louis,3447000.0,3.447,1.733,1.936,1.879
153,13,Wood River,594000.0,0.594,3.3,0.002,4.4
154,14,Cape Girardeau,756000.0,0.756,2.154,0.088,5.188
155,14,Evansville,783000.0,0.783,2.719,0.0,4.467
156,14,Greenville,702000.0,0.702,1.529,0.073,5.688
157,14,Jonesboro,918000.0,0.918,1.02,3.947,3.623
158,14,Little Rock,2538000.0,2.538,2.564,0.0,4.903
159,14,Owensboro,711000.0,0.711,3.038,0.014,4.226
160,14,Paducah,666000.0,0.666,1.721,0.61,4.099
161,14,Princeton,333000.0,0.333,2.643,0.075,4.059
162,14,Robinson,459000.0,0.459,2.318,0.008,4.813
163,14,St. Louis,3339000.0,3.339,1.664,1.883,1.97
164,14,Wood River,576000.0,0.576,3.2,0.0,5.204
165,15,Cape Girardeau,810000.0,0.81,2.308,0.098,5.08
166,15,Evansville,783000.0,0.783,2.719,0.0,4.122
167,15,Greenville,666000.0,0.666,1.451,0.092,5.805
168,15,Jonesboro,936000.0,0.936,1.01,4.217,3.52
169,15,Little Rock,2511000.0,2.511,2.536,0.0,4.581
170,15,Owensboro,783000.0,0.783,3.346,0.024,4.635
171,15,Paducah,648000.0,0.648,1.674,0.718,3.894
172,15,Princeton,333000.0,0.333,2.643,0.079,3.717
173,15,Robinson,459000.0,0.459,2.318,0.004,5.198
174,15,St. Louis,3393000.0,3.393,1.706,1.888,1.952
175,15,Wood River,567000.0,0.567,3.15,0.0,4.853
176,16,Cape Girardeau,720000.0,0.72,2.051,0.082,4.793
177,16,Evansville,801000.0,0.801,2.781,0.0,4.005
178,16,Greenville,693000.0,0.693,1.51,0.067,6.001
179,16,Jonesboro,981000.0,0.981,1.0,4.072,3.576
180,16,Little Rock,2556000.0,2.556,2.582,0.0,4.695
181,16,Owensboro,810000.0,0.81,3.462,0.014,4.385
182,16,Paducah,675000.0,0.675,1.744,0.74,3.807
183,16,Princeton,315000.0,0.315,2.5,0.083,3.797
184,16,Robinson,486000.0,0.486,2.455,0.002,5.569
185,16,St. Louis,3375000.0,3.375,1.682,1.985,1.785
186,16,Wood River,531000.0,0.531,2.95,0.0,4.856
187,17,Cape Girardeau,756000.0,0.756,2.154,0.063,5.376
188,17,Evansville,783000.0,0.783,2.719,0.0,4.357
189,17,Greenville,684000.0,0.684,1.49,0.322,5.091
190,17,Jonesboro,963000.0,0.963,1.0,4.332,3.589
191,17,Little Rock,2538000.0,2.538,2.564,0.0,4.765
192,17,Owensboro,774000.0,0.774,3.308,0.014,4.739
193,17,Paducah,666000.0,0.666,1.721,0.778,3.891
194,17,Princeton,315000.0,0.315,2.5,0.047,3.82
195,17,Robinson,459000.0,0.459,2.318,0.004,5.466
196,17,St. Louis,3429000.0,3.429,1.693,1.892,2.026
197,17,Wood River,585000.0,0.585,3.25,0.0,5.357
198,18,Cape Girardeau,783000.0,0.783,2.231,0.065,4.947
199,18,Evansville,846000.0,0.846,2.938,0.0,4.168
