,Iteration,Gates,Bays,Station_Dist,Fleet,Flow,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time,Gate_Time,Bay_Time,Truck_Speed,Truck_HoS
73,8,1,1,25,25,189000.0,1.167,3.656,0.657,7,35,45,14
74,8,1,1,25,50,189000.0,1.05,4.283,0.559,7,35,45,14
75,8,1,1,25,75,189000.0,1.0,5.218,0.538,7,35,45,14
76,8,1,1,25,100,189000.0,1.0,5.049,0.535,7,35,45,14
77,8,1,1,25,125,189000.0,1.0,5.358,0.538,7,35,45,14
78,8,1,1,25,150,189000.0,1.0,5.828,0.537,7,35,45,14
79,8,1,1,25,175,189000.0,1.0,5.782,0.541,7,35,45,14
80,8,1,1,25,200,189000.0,1.0,5.773,0.528,7,35,45,14
81,9,1,1,25,10,162000.0,1.8,0.761,1.271,7,35,45,14
82,9,1,1,25,25,189000.0,1.235,3.051,0.821,7,35,45,14
83,9,1,1,25,50,189000.0,1.05,4.39,0.697,7,35,45,14
84,9,1,1,25,75,189000.0,1.0,5.201,0.674,7,35,45,14
85,9,1,1,25,100,189000.0,1.0,5.265,0.656,7,35,45,14
86,9,1,1,25,125,189000.0,1.0,5.521,0.671,7,35,45,14
87,9,1,1,25,150,189000.0,1.0,5.799,0.668,7,35,45,14
88,9,1,1,25,175,189000.0,1.0,5.817,0.663,7,35,45,14
89,9,1,1,25,200,189000.0,1.0,5.797,0.661,7,35,45,14
90,10,1,1,25,10,180000.0,2.0,0.686,1.259,7,35,45,14
91,10,1,1,25,25,189000.0,1.235,3.625,0.747,7,35,45,14
92,10,1,1,25,50,189000.0,1.05,4.603,0.629,7,35,45,14
93,10,1,1,25,75,189000.0,1.0,5.198,0.607,7,35,45,14
94,10,1,1,25,100,189000.0,1.0,5.163,0.612,7,35,45,14
95,10,1,1,25,125,189000.0,1.0,5.71,0.6,7,35,45,14
96,10,1,1,25,150,189000.0,1.0,5.583,0.61,7,35,45,14
97,10,1,1,25,175,189000.0,1.0,5.774,0.599,7,35,45,14
98,10,1,1,25,200,189000.0,1.0,5.922,0.608,7,35,45,14
99,11,1,1,25,10,171000.0,1.9,0.761,1.114,7,35,45,14
100,11,1,1,25,25,180000.0,1.176,3.463,0.645,7,35,45,14
101,11,1,1,25,50,180000.0,1.053,4.557,0.592,7,35,45,14
102,11,1,1,25,75,180000.0,1.0,5.143,0.549,7,35,45,14
103,11,1,1,25,100,189000.0,1.0,5.356,0.547,7,35,45,14
104,11,1,1,25,125,189000.0,1.0,5.56,0.536,7,35,45,14
105,11,1,1,25,150,189000.0,1.0,5.715,0.543,7,35,45,14
106,11,1,1,25,175,189000.0,1.0,5.681,0.541,7,35,45,14
107,11,1,1,25,200,180000.0,1.0,5.587,0.544,7,35,45,14
108,12,1,1,25,10,180000.0,2.0,0.739,1.308,7,35,45,14
109,12,1,1,25,25,180000.0,1.176,3.571,0.724,7,35,45,14
110,12,1,1,25,50,189000.0,1.0,4.984,0.631,7,35,45,14
111,12,1,1,25,75,180000.0,1.0,5.026,0.645,7,35,45,14
112,12,1,1,25,100,189000.0,1.0,5.145,0.635,7,35,45,14
113,12,1,1,25,125,189000.0,1.0,5.621,0.638,7,35,45,14
114,12,1,1,25,150,189000.0,1.0,5.629,0.639,7,35,45,14
115,12,1,1,25,175,189000.0,1.0,5.71,0.639,7,35,45,14
116,12,1,1,25,200,189000.0,1.0,5.811,0.632,7,35,45,14
117,13,1,1,25,10,171000.0,1.9,0.717,1.181,7,35,45,14
118,13,1,1,25,25,180000.0,1.111,3.882,0.654,7,35,45,14
119,13,1,1,25,50,189000.0,1.0,4.651,0.563,7,35,45,14
120,13,1,1,25,75,189000.0,1.0,5.253,0.563,7,35,45,14
121,13,1,1,25,100,189000.0,1.0,5.402,0.576,7,35,45,14
122,13,1,1,25,125,198000.0,1.0,5.742,0.554,7,35,45,14
123,13,1,1,25,150,189000.0,1.0,5.678,0.566,7,35,45,14
124,13,1,1,25,175,189000.0,1.0,5.707,0.559,7,35,45,14
125,13,1,1,25,200,198000.0,1.0,5.626,0.551,7,35,45,14
126,14,1,1,25,10,171000.0,1.9,0.703,1.24,7,35,45,14
127,14,1,1,25,25,189000.0,1.167,3.538,0.711,7,35,45,14
128,14,1,1,25,50,189000.0,1.105,4.445,0.669,7,35,45,14
129,14,1,1,25,75,189000.0,1.0,4.967,0.604,7,35,45,14
130,14,1,1,25,100,180000.0,1.0,5.097,0.634,7,35,45,14
131,14,1,1,25,125,189000.0,1.0,5.609,0.61,7,35,45,14
132,14,1,1,25,150,189000.0,1.0,5.562,0.623,7,35,45,14
133,14,1,1,25,175,189000.0,1.0,5.736,0.616,7,35,45,14
134,14,1,1,25,200,189000.0,1.0,5.764,0.618,7,35,45,14
135,15,1,1,25,10,171000.0,1.9,0.896,0.859,7,35,45,14
136,15,1,1,25,25,189000.0,1.313,3.281,0.569,7,35,45,14
137,15,1,1,25,50,189000.0,1.0,4.892,0.44,7,35,45,14
138,15,1,1,25,75,189000.0,1.0,4.979,0.432,7,35,45,14
139,15,1,1,25,100,198000.0,1.0,5.487,0.427,7,35,45,14
140,15,1,1,25,125,189000.0,1.0,5.583,0.417,7,35,45,14
141,15,1,1,25,150,189000.0,1.0,5.603,0.44,7,35,45,14
142,15,1,1,25,175,189000.0,1.0,5.762,0.439,7,35,45,14
143,15,1,1,25,200,189000.0,1.0,5.888,0.409,7,35,45,14
144,16,1,1,25,10,162000.0,1.8,0.807,1.051,7,35,45,14
145,16,1,1,25,25,180000.0,1.053,3.629,0.598,7,35,45,14
146,16,1,1,25,50,180000.0,1.053,4.259,0.6,7,35,45,14
147,16,1,1,25,75,189000.0,1.0,4.922,0.545,7,35,45,14
148,16,1,1,25,100,198000.0,1.0,5.538,0.527,7,35,45,14
149,16,1,1,25,125,189000.0,1.0,5.32,0.542,7,35,45,14
150,16,1,1,25,150,189000.0,1.0,5.637,0.545,7,35,45,14
151,16,1,1,25,175,198000.0,1.0,5.62,0.524,7,35,45,14
152,16,1,1,25,200,189000.0,1.0,5.947,0.54,7,35,45,14
153,17,1,1,25,10,189000.0,2.1,0.678,1.516,7,35,45,14
154,17,1,1,25,25,180000.0,1.053,3.911,0.785,7,35,45,14
155,17,1,1,25,50,180000.0,1.0,4.53,0.732,7,35,45,14
156,17,1,1,25,75,180000.0,1.0,4.949,0.701,7,35,45,14
157,17,1,1,25,100,180000.0,1.0,5.2,0.708,7,35,45,14
158,17,1,1,25,125,189000.0,1.0,5.696,0.698,7,35,45,14
159,17,1,1,25,150,180000.0,1.0,5.625,0.697,7,35,45,14
160,17,1,1,25,175,189000.0,1.0,5.867,0.703,7,35,45,14
161,17,1,1,25,200,189000.0,1.0,5.823,0.702,7,35,45,14
162,18,1,1,25,10,180000.0,2.0,0.823,1.105,7,35,45,14
163,18,1,1,25,25,180000.0,1.176,3.386,0.64,7,35,45,14
164,18,1,1,25,50,189000.0,1.105,4.257,0.602,7,35,45,14
165,18,1,1,25,75,189000.0,1.0,4.735,0.535,7,35,45,14
166,18,1,1,25,100,189000.0,1.0,5.331,0.538,7,35,45,14
167,18,1,1,25,125,189000.0,1.0,5.362,0.54,7,35,45,14
168,18,1,1,25,150,189000.0,1.0,5.542,0.539,7,35,45,14
169,18,1,1,25,175,198000.0,1.0,5.787,0.518,7,35,45,14
170,18,1,1,25,200,189000.0,1.0,5.721,0.539,7,35,45,14
171,19,1,1,25,10,135000.0,1.5,0.834,0.893,7,35,45,14
172,19,1,1,25,25,198000.0,1.158,3.65,0.578,7,35,45,14
173,19,1,1,25,50,198000.0,1.048,4.56,0.525,7,35,45,14
174,19,1,1,25,75,189000.0,1.0,5.367,0.523,7,35,45,14
175,19,1,1,25,100,189000.0,1.0,5.296,0.521,7,35,45,14
176,19,1,1,25,125,189000.0,1.0,5.496,0.527,7,35,45,14
177,19,1,1,25,150,189000.0,1.0,5.687,0.521,7,35,45,14
178,19,1,1,25,175,198000.0,1.0,5.663,0.498,7,35,45,14
179,19,1,1,25,200,198000.0,1.0,5.621,0.501,7,35,45,14
180,20,1,1,25,10,189000.0,2.1,0.702,1.166,7,35,45,14
181,20,1,1,25,25,189000.0,1.167,3.571,0.638,7,35,45,14
182,20,1,1,25,50,189000.0,1.0,4.775,0.545,7,35,45,14
183,20,1,1,25,75,189000.0,1.0,4.929,0.547,7,35,45,14
184,20,1,1,25,100,189000.0,1.0,5.412,0.554,7,35,45,14
185,20,1,1,25,125,189000.0,1.0,5.39,0.545,7,35,45,14
186,20,1,1,25,150,189000.0,1.0,5.709,0.553,7,35,45,14
187,20,1,1,25,175,198000.0,1.0,5.734,0.532,7,35,45,14
188,20,1,1,25,200,189000.0,1.0,5.907,0.549,7,35,45,14
189,21,1,1,25,10,180000.0,2.0,0.779,0.919,7,35,45,14
190,21,1,1,25,25,189000.0,1.235,3.189,0.546,7,35,45,14
191,21,1,1,25,50,189000.0,1.0,4.827,0.448,7,35,45,14
192,21,1,1,25,75,189000.0,1.0,4.728,0.44,7,35,45,14
193,21,1,1,25,100,189000.0,1.0,5.4,0.443,7,35,45,14
194,21,1,1,25,125,189000.0,1.0,5.3,0.456,7,35,45,14
195,21,1,1,25,150,189000.0,1.0,5.708,0.457,7,35,45,14
196,21,1,1,25,175,189000.0,1.0,5.587,0.455,7,35,45,14
197,21,1,1,25,200,189000.0,1.0,5.803,0.456,7,35,45,14
198,22,1,1,25,10,180000.0,2.0,0.766,1.263,7,35,45,14
199,22,1,1,25,25,198000.0,1.158,3.496,0.692,7,35,45,14
200,22,1,1,25,50,180000.0,1.0,4.793,0.619,7,35,45,14
201,22,1,1,25,75,189000.0,1.0,4.86,0.609,7,35,45,14
202,22,1,1,25,100,189000.0,1.0,5.43,0.602,7,35,45,14
203,22,1,1,25,125,189000.0,1.0,5.471,0.611,7,35,45,14
204,22,1,1,25,150,198000.0,1.0,5.58,0.583,7,35,45,14
205,22,1,1,25,175,189000.0,1.0,5.737,0.61,7,35,45,14
206,22,1,1,25,200,189000.0,1.0,5.699,0.594,7,35,45,14
207,23,1,1,25,10,171000.0,1.9,0.798,1.089,7,35,45,14
208,23,1,1,25,25,189000.0,1.235,3.18,0.687,7,35,45,14
209,23,1,1,25,50,189000.0,1.0,4.999,0.539,7,35,45,14
210,23,1,1,25,75,189000.0,1.0,5.001,0.533,7,35,45,14
211,23,1,1,25,100,189000.0,1.0,5.462,0.535,7,35,45,14
212,23,1,1,25,125,189000.0,1.0,5.453,0.533,7,35,45,14
213,23,1,1,25,150,189000.0,1.0,5.578,0.534,7,35,45,14
214,23,1,1,25,175,189000.0,1.0,5.551,0.526,7,35,45,14
215,23,1,1,25,200,189000.0,1.0,5.934,0.534,7,35,45,14
216,24,1,1,25,10,180000.0,2.0,0.648,1.211,7,35,45,14
217,24,1,1,25,25,198000.0,1.158,3.616,0.624,7,35,45,14
218,24,1,1,25,50,189000.0,1.105,4.485,0.623,7,35,45,14
219,24,1,1,25,75,189000.0,1.0,5.164,0.567,7,35,45,14
220,24,1,1,25,100,189000.0,1.0,5.118,0.567,7,35,45,14
221,24,1,1,25,125,189000.0,1.0,5.727,0.571,7,35,45,14
222,24,1,1,25,150,198000.0,1.0,5.755,0.546,7,35,45,14
223,24,1,1,25,175,189000.0,1.0,5.653,0.563,7,35,45,14
224,24,1,1,25,200,198000.0,1.0,5.682,0.561,7,35,45,14
225,25,1,1,25,10,180000.0,2.0,0.922,1.083,7,35,45,14
226,25,1,1,25,25,180000.0,1.25,3.379,0.634,7,35,45,14
227,25,1,1,25,50,180000.0,1.0,4.832,0.485,7,35,45,14
228,25,1,1,25,75,189000.0,1.0,5.002,0.505,7,35,45,14
229,25,1,1,25,100,189000.0,1.0,5.322,0.506,7,35,45,14
230,25,1,1,25,125,189000.0,1.0,5.799,0.508,7,35,45,14
231,25,1,1,25,150,189000.0,1.0,5.626,0.5,7,35,45,14
232,25,1,1,25,175,189000.0,1.0,5.686,0.511,7,35,45,14
233,25,1,1,25,200,198000.0,1.0,5.664,0.503,7,35,45,14
234,26,1,1,25,10,162000.0,1.8,0.833,1.05,7,35,45,14
235,26,1,1,25,25,198000.0,1.222,3.277,0.672,7,35,45,14
236,26,1,1,25,50,198000.0,1.0,4.865,0.549,7,35,45,14
237,26,1,1,25,75,198000.0,1.048,4.548,0.589,7,35,45,14
238,26,1,1,25,100,189000.0,1.0,5.258,0.573,7,35,45,14
239,26,1,1,25,125,189000.0,1.0,5.545,0.58,7,35,45,14
240,26,1,1,25,150,180000.0,1.0,5.541,0.576,7,35,45,14
241,26,1,1,25,175,198000.0,1.0,5.778,0.554,7,35,45,14
242,26,1,1,25,200,198000.0,1.0,5.683,0.551,7,35,45,14
243,27,1,1,25,10,180000.0,2.0,0.736,1.412,7,35,45,14
244,27,1,1,25,25,180000.0,1.176,3.679,0.783,7,35,45,14
245,27,1,1,25,50,189000.0,1.0,4.933,0.656,7,35,45,14
246,27,1,1,25,75,189000.0,1.0,4.947,0.659,7,35,45,14
247,27,1,1,25,100,198000.0,1.0,5.408,0.638,7,35,45,14
248,27,1,1,25,125,189000.0,1.0,5.552,0.663,7,35,45,14
249,27,1,1,25,150,180000.0,1.0,5.844,0.666,7,35,45,14
250,27,1,1,25,175,189000.0,1.0,5.723,0.66,7,35,45,14
251,27,1,1,25,200,189000.0,1.0,5.79,0.661,7,35,45,14
252,28,1,1,25,10,180000.0,2.0,0.817,1.164,7,35,45,14
253,28,1,1,25,25,189000.0,1.235,3.304,0.677,7,35,45,14
254,28,1,1,25,50,189000.0,1.0,4.641,0.582,7,35,45,14
255,28,1,1,25,75,189000.0,1.0,5.184,0.576,7,35,45,14
256,28,1,1,25,100,189000.0,1.0,5.447,0.579,7,35,45,14
257,28,1,1,25,125,189000.0,1.0,5.743,0.548,7,35,45,14
258,28,1,1,25,150,198000.0,1.0,5.57,0.579,7,35,45,14
259,28,1,1,25,175,189000.0,1.0,5.686,0.588,7,35,45,14
260,28,1,1,25,200,189000.0,1.0,5.884,0.591,7,35,45,14
261,29,1,1,25,10,189000.0,2.1,0.767,1.032,7,35,45,14
262,29,1,1,25,25,180000.0,1.25,2.805,0.605,7,35,45,14
263,29,1,1,25,50,189000.0,1.05,4.249,0.507,7,35,45,14
264,29,1,1,25,75,189000.0,1.05,4.773,0.505,7,35,45,14
265,29,1,1,25,100,198000.0,1.0,5.271,0.472,7,35,45,14
266,29,1,1,25,125,189000.0,1.0,5.544,0.483,7,35,45,14
267,29,1,1,25,150,189000.0,1.0,5.721,0.485,7,35,45,14
268,29,1,1,25,175,180000.0,1.0,5.563,0.484,7,35,45,14
269,29,1,1,25,200,189000.0,1.0,5.705,0.483,7,35,45,14
270,0,1,1,50,10,180000.0,2.0,0.584,1.986,7,35,45,14
271,0,1,1,50,25,180000.0,1.176,3.305,1.224,7,35,45,14
272,0,1,1,50,50,189000.0,1.0,4.359,1.019,7,35,45,14
273,0,1,1,50,75,189000.0,1.0,5.305,0.984,7,35,45,14
274,0,1,1,50,100,180000.0,1.0,5.343,1.046,7,35,45,14
275,0,1,1,50,125,189000.0,1.0,5.738,1.014,7,35,45,14
276,0,1,1,50,150,189000.0,1.0,5.463,1.007,7,35,45,14
277,0,1,1,50,175,189000.0,1.0,5.747,1.024,7,35,45,14
