,Iteration,Gates,Bays,Station_Dist,Truck_HoS,Flow,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time,Gate_Time,Bay_Time,Truck_Speed,Fleet
73,12,1,1,25,15,207000.0,1.0,5.126,0.481,7,35,45,50
74,12,1,1,25,16,216000.0,1.043,5.312,0.495,7,35,45,50
75,12,1,1,25,17,243000.0,1.125,5.436,0.486,7,35,45,50
76,12,1,1,25,18,243000.0,1.038,6.272,0.466,7,35,45,50
77,12,1,1,25,24,252000.0,1.037,6.288,0.447,7,35,45,50
78,13,1,1,25,14,189000.0,1.0,4.45,0.548,7,35,45,50
79,13,1,1,25,15,198000.0,1.048,4.495,0.6,7,35,45,50
80,13,1,1,25,16,225000.0,1.087,5.122,0.614,7,35,45,50
81,13,1,1,25,17,234000.0,1.04,5.87,0.596,7,35,45,50
82,13,1,1,25,18,243000.0,1.038,6.401,0.609,7,35,45,50
83,13,1,1,25,24,243000.0,1.038,6.42,0.603,7,35,45,50
84,14,1,1,25,14,189000.0,1.05,4.768,0.524,7,35,45,50
85,14,1,1,25,15,198000.0,1.0,5.423,0.524,7,35,45,50
86,14,1,1,25,16,207000.0,1.0,5.655,0.516,7,35,45,50
87,14,1,1,25,17,234000.0,1.083,6.163,0.586,7,35,45,50
88,14,1,1,25,18,252000.0,1.077,5.916,0.583,7,35,45,50
89,14,1,1,25,24,252000.0,1.077,5.948,0.59,7,35,45,50
90,15,1,1,25,14,189000.0,1.0,4.386,0.554,7,35,45,50
91,15,1,1,25,15,207000.0,1.0,5.186,0.524,7,35,45,50
92,15,1,1,25,16,216000.0,1.0,5.525,0.526,7,35,45,50
93,15,1,1,25,17,225000.0,1.0,5.756,0.546,7,35,45,50
94,15,1,1,25,18,252000.0,1.077,6.292,0.573,7,35,45,50
95,15,1,1,25,24,252000.0,1.077,6.227,0.569,7,35,45,50
96,16,1,1,25,14,180000.0,1.053,4.027,0.526,7,35,45,50
97,16,1,1,25,15,207000.0,1.0,5.199,0.512,7,35,45,50
98,16,1,1,25,16,225000.0,1.087,4.99,0.561,7,35,45,50
99,16,1,1,25,17,225000.0,1.042,5.277,0.573,7,35,45,50
100,16,1,1,25,18,243000.0,1.0,6.455,0.547,7,35,45,50
101,16,1,1,25,24,252000.0,1.037,6.404,0.58,7,35,45,50
102,17,1,1,25,14,189000.0,1.0,4.74,0.492,7,35,45,50
103,17,1,1,25,15,207000.0,1.095,5.107,0.516,7,35,45,50
104,17,1,1,25,16,216000.0,1.043,5.495,0.49,7,35,45,50
105,17,1,1,25,17,234000.0,1.13,5.614,0.553,7,35,45,50
