,Gates,Bays,Station_Dist,Gate_Value,Gate_OFC,Bay_Value,Bay_OFC,Speed_Value,Speed_OFC,Fleet_Value,Fleet_OFC,Best_Intrv,Best_Value,Best_OFC
209,3,5,300,,,35.0,0.5907,75.0,0.7556999999999999,75.0,0.6834000000000002,Transportation Speed,75.0,0.7556999999999999
210,3,6,25,15.0,1.0497,15.0,2.2434,35.0,1.0605,100.0,1.1181,Terminal Bay Time,15.0,2.2434
211,3,6,50,15.0,1.023,15.0,1.8627,35.0,1.0188,100.0,1.0961999999999998,Terminal Bay Time,15.0,1.8627
212,3,6,100,15.0,0.9678,20.0,1.2641999999999998,65.0,1.0167,100.0,1.0389000000000002,Terminal Bay Time,20.0,1.2641999999999998
213,3,6,150,15.0,0.8636999999999998,32.5,0.9069,55.0,0.9525,100.0,0.9858,Transportation Fleet,100.0,0.9858
214,3,6,200,15.0,0.7473000000000002,42.5,0.7100999999999998,75.0,0.9567,75.0,0.9219000000000004,Transportation Speed,75.0,0.9567
215,3,6,300,15.0,0.5916,,,75.0,0.8049000000000001,100.0,0.8301,Transportation Fleet,100.0,0.8301
216,3,7,25,10.0,1.209,15.0,2.3133,35.0,1.2057000000000002,125.0,1.3128,Terminal Bay Time,15.0,2.3133
217,3,7,50,10.0,1.1742000000000004,15.0,1.8522,55.0,1.2021,100.0,1.2725999999999995,Terminal Bay Time,15.0,1.8522
218,3,7,100,10.0,1.0938,25.0,1.2467999999999997,55.0,1.137,100.0,1.2074999999999998,Terminal Bay Time,25.0,1.2467999999999997
219,3,7,150,10.0,0.8934,40.0,0.8814000000000001,75.0,1.1322,100.0,1.1439,Transportation Fleet,100.0,1.1439
220,3,7,200,15.0,0.7394999999999999,30.0,0.7995000000000001,75.0,1.0326,100.0,1.0968000000000002,Transportation Fleet,100.0,1.0968000000000002
221,3,7,300,15.0,0.5852999999999999,,,75.0,0.8082,100.0,0.9669,Transportation Fleet,100.0,0.9669
222,3,8,25,10.0,1.3524,15.0,2.3112000000000004,45.0,1.3791,100.0,1.4798999999999998,Terminal Bay Time,15.0,2.3112000000000004
223,3,8,50,10.0,1.314,15.0,1.8555,65.0,1.3515000000000004,125.0,1.4586,Terminal Bay Time,15.0,1.8555
224,3,8,100,9.0,1.1532000000000002,25.0,1.2446999999999997,65.0,1.281,125.0,1.3872000000000002,Transportation Fleet,125.0,1.3872000000000002
225,3,8,150,10.0,0.8987999999999998,42.5,0.8798999999999999,75.0,1.1931,100.0,1.3068,Transportation Fleet,100.0,1.3068
226,3,8,200,10.0,0.7739999999999999,,,75.0,1.0512,100.0,1.2315,Transportation Fleet,100.0,1.2315
227,3,8,300,15.0,0.6056999999999999,,,75.0,0.8214,125.0,1.1189999999999998,Transportation Fleet,125.0,1.1189999999999998
228,3,9,25,10.0,1.4964,20.0,2.2389,35.0,1.4955,150.0,1.6779000000000002,Terminal Bay Time,20.0,2.2389
229,3,9,50,9.0,1.4480999999999995,20.0,1.8159,45.0,1.4486999999999994,125.0,1.6322999999999996,Terminal Bay Time,20.0,1.8159
