,Iteration,Group,Flow,Flow_MMgal,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time
101,9,Greenville,783000.0,0.783,1.706,0.534,4.292
102,9,Jonesboro,1026000.0,1.026,1.027,4.262,2.707
103,9,Little Rock,3015000.0,3.015,3.045,0.002,3.831
104,9,Owensboro,765000.0,0.765,3.269,0.024,3.161
105,9,Paducah,702000.0,0.702,1.814,1.076,2.685
106,9,Princeton,351000.0,0.351,2.786,0.233,2.802
107,9,Robinson,513000.0,0.513,2.591,0.02,4.285
108,9,St. Louis,3483000.0,3.483,1.735,2.093,1.437
109,9,Wood River,657000.0,0.657,3.65,0.0,4.117
110,10,Cape Girardeau,954000.0,0.954,2.718,0.166,4.276
111,10,Evansville,927000.0,0.927,3.219,0.0,3.038
112,10,Greenville,792000.0,0.792,1.725,0.52,4.505
113,10,Jonesboro,1044000.0,1.044,1.018,4.439,2.643
114,10,Little Rock,2988000.0,2.988,3.018,0.002,3.921
115,10,Owensboro,837000.0,0.837,3.577,0.018,3.546
116,10,Paducah,693000.0,0.693,1.791,1.104,2.913
117,10,Princeton,342000.0,0.342,2.714,0.344,2.513
118,10,Robinson,549000.0,0.549,2.773,0.012,4.187
119,10,St. Louis,3438000.0,3.438,1.736,2.084,1.317
120,10,Wood River,675000.0,0.675,3.75,0.0,3.79
121,11,Cape Girardeau,936000.0,0.936,2.667,0.143,4.108
122,11,Evansville,891000.0,0.891,3.094,0.0,3.334
123,11,Greenville,810000.0,0.81,1.765,0.642,4.262
124,11,Jonesboro,1017000.0,1.017,1.009,4.177,2.809
125,11,Little Rock,3015000.0,3.015,3.045,0.001,3.829
126,11,Owensboro,819000.0,0.819,3.5,0.02,3.633
127,11,Paducah,666000.0,0.666,1.721,1.203,2.343
128,11,Princeton,333000.0,0.333,2.643,0.283,2.733
129,11,Robinson,549000.0,0.549,2.773,0.019,4.385
130,11,St. Louis,3447000.0,3.447,1.741,2.049,1.316
131,11,Wood River,693000.0,0.693,3.85,0.0,4.355
132,12,Cape Girardeau,927000.0,0.927,2.641,0.188,4.253
133,12,Evansville,900000.0,0.9,3.125,0.0,3.113
134,12,Greenville,792000.0,0.792,1.725,0.374,4.766
135,12,Jonesboro,954000.0,0.954,1.0,4.122,2.73
136,12,Little Rock,3042000.0,3.042,3.073,0.001,3.766
137,12,Owensboro,855000.0,0.855,3.654,0.025,3.726
138,12,Paducah,711000.0,0.711,1.837,1.08,2.985
139,12,Princeton,315000.0,0.315,2.5,0.328,2.498
140,12,Robinson,567000.0,0.567,2.864,0.017,4.455
141,12,St. Louis,3420000.0,3.42,1.712,2.092,1.283
142,12,Wood River,693000.0,0.693,3.85,0.0,4.332
143,13,Cape Girardeau,990000.0,0.99,2.821,0.159,4.103
144,13,Evansville,909000.0,0.909,3.156,0.0,3.154
145,13,Greenville,774000.0,0.774,1.686,0.509,4.523
146,13,Jonesboro,1026000.0,1.026,1.018,4.241,2.685
147,13,Little Rock,3015000.0,3.015,3.045,0.002,3.859
148,13,Owensboro,819000.0,0.819,3.5,0.028,3.501
149,13,Paducah,702000.0,0.702,1.814,1.202,2.671
150,13,Princeton,342000.0,0.342,2.714,0.264,2.894
151,13,Robinson,549000.0,0.549,2.773,0.013,4.541
152,13,St. Louis,3501000.0,3.501,1.744,2.008,1.443
153,13,Wood River,666000.0,0.666,3.7,0.0,3.867
154,14,Cape Girardeau,918000.0,0.918,2.615,0.159,4.003
155,14,Evansville,945000.0,0.945,3.281,0.0,3.392
156,14,Greenville,774000.0,0.774,1.686,0.488,4.402
157,14,Jonesboro,1026000.0,1.026,1.009,4.267,2.701
158,14,Little Rock,3078000.0,3.078,3.109,0.003,3.747
159,14,Owensboro,792000.0,0.792,3.385,0.021,3.475
160,14,Paducah,693000.0,0.693,1.791,1.052,2.714
161,14,Princeton,360000.0,0.36,2.857,0.198,3.034
162,14,Robinson,531000.0,0.531,2.682,0.017,4.321
163,14,St. Louis,3483000.0,3.483,1.767,2.109,1.356
164,14,Wood River,693000.0,0.693,3.85,0.0,3.975
165,15,Cape Girardeau,891000.0,0.891,2.538,0.154,4.282
166,15,Evansville,954000.0,0.954,3.313,0.0,3.404
167,15,Greenville,765000.0,0.765,1.667,0.687,3.894
168,15,Jonesboro,1017000.0,1.017,1.018,4.14,2.618
169,15,Little Rock,3015000.0,3.015,3.045,0.002,3.89
170,15,Owensboro,837000.0,0.837,3.577,0.023,3.426
171,15,Paducah,720000.0,0.72,1.86,1.102,2.824
172,15,Princeton,333000.0,0.333,2.643,0.34,2.601
173,15,Robinson,495000.0,0.495,2.5,0.024,4.034
174,15,St. Louis,3465000.0,3.465,1.734,1.997,1.366
175,15,Wood River,621000.0,0.621,3.45,0.0,3.745
176,16,Cape Girardeau,990000.0,0.99,2.821,0.134,4.259
177,16,Evansville,945000.0,0.945,3.281,0.0,3.18
178,16,Greenville,846000.0,0.846,1.843,0.329,4.649
179,16,Jonesboro,1017000.0,1.017,1.018,4.145,2.648
180,16,Little Rock,3051000.0,3.051,3.082,0.002,3.775
181,16,Owensboro,837000.0,0.837,3.577,0.019,3.578
182,16,Paducah,693000.0,0.693,1.791,1.143,2.764
183,16,Princeton,324000.0,0.324,2.571,0.258,2.857
184,16,Robinson,576000.0,0.576,2.909,0.014,4.131
185,16,St. Louis,3456000.0,3.456,1.722,2.043,1.354
186,16,Wood River,675000.0,0.675,3.75,0.0,3.775
187,17,Cape Girardeau,963000.0,0.963,2.744,0.111,4.439
188,17,Evansville,954000.0,0.954,3.313,0.0,3.311
189,17,Greenville,819000.0,0.819,1.784,0.303,4.921
190,17,Jonesboro,999000.0,0.999,1.018,4.251,2.696
191,17,Little Rock,3015000.0,3.015,3.045,0.002,3.853
192,17,Owensboro,819000.0,0.819,3.5,0.013,3.773
193,17,Paducah,675000.0,0.675,1.744,1.118,2.7
194,17,Princeton,342000.0,0.342,2.714,0.22,2.735
195,17,Robinson,540000.0,0.54,2.727,0.02,4.201
196,17,St. Louis,3465000.0,3.465,1.711,2.139,1.291
197,17,Wood River,621000.0,0.621,3.45,0.0,3.828
198,18,Cape Girardeau,945000.0,0.945,2.692,0.133,4.115
199,18,Evansville,945000.0,0.945,3.281,0.0,3.407
200,18,Greenville,747000.0,0.747,1.627,0.615,4.116
201,18,Jonesboro,999000.0,0.999,1.009,4.144,2.559
202,18,Little Rock,3177000.0,3.177,3.209,0.001,3.857
203,18,Owensboro,855000.0,0.855,3.654,0.022,3.615
204,18,Paducah,648000.0,0.648,1.674,1.213,2.517
205,18,Princeton,333000.0,0.333,2.643,0.269,2.844
206,18,Robinson,558000.0,0.558,2.818,0.022,4.449
207,18,St. Louis,3492000.0,3.492,1.764,2.076,1.367
208,18,Wood River,639000.0,0.639,3.55,0.0,3.773
209,19,Cape Girardeau,918000.0,0.918,2.615,0.136,4.307
210,19,Evansville,945000.0,0.945,3.281,0.0,3.435
211,19,Greenville,774000.0,0.774,1.686,0.614,4.131
212,19,Jonesboro,1026000.0,1.026,1.018,4.096,2.722
213,19,Little Rock,3078000.0,3.078,3.109,0.002,3.876
214,19,Owensboro,837000.0,0.837,3.577,0.024,3.272
215,19,Paducah,648000.0,0.648,1.674,1.16,2.684
216,19,Princeton,342000.0,0.342,2.714,0.331,2.902
217,19,Robinson,558000.0,0.558,2.818,0.015,4.137
218,19,St. Louis,3393000.0,3.393,1.706,2.088,1.303
219,19,Wood River,684000.0,0.684,3.8,0.0,3.895
220,20,Cape Girardeau,918000.0,0.918,2.615,0.169,4.024
221,20,Evansville,954000.0,0.954,3.313,0.0,3.382
222,20,Greenville,828000.0,0.828,1.804,0.449,4.638
223,20,Jonesboro,1008000.0,1.008,1.028,4.168,2.818
224,20,Little Rock,2970000.0,2.97,3.0,0.001,3.682
225,20,Owensboro,810000.0,0.81,3.462,0.013,3.644
226,20,Paducah,684000.0,0.684,1.767,1.118,2.512
227,20,Princeton,324000.0,0.324,2.571,0.302,2.281
228,20,Robinson,513000.0,0.513,2.591,0.008,4.427
229,20,St. Louis,3483000.0,3.483,1.735,2.082,1.312
230,20,Wood River,621000.0,0.621,3.45,0.0,3.296
231,21,Cape Girardeau,963000.0,0.963,2.744,0.122,4.409
232,21,Evansville,891000.0,0.891,3.094,0.0,3.294
