,Iteration,Group,Flow,Flow_MMgal,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time
101,9,Greenville,720000.0,0.72,1.509,0.105,5.567
102,9,Jonesboro,963000.0,0.963,1.0,4.088,3.684
103,9,Little Rock,2655000.0,2.655,2.565,0.001,4.821
104,9,Owensboro,729000.0,0.729,3.0,0.018,4.056
105,9,Paducah,729000.0,0.729,1.8,0.991,3.449
106,9,Princeton,351000.0,0.351,2.786,0.055,4.469
107,9,Robinson,450000.0,0.45,2.174,0.007,5.139
108,9,St. Louis,3420000.0,3.42,1.631,2.026,1.793
109,9,Wood River,639000.0,0.639,3.381,0.0,4.95
110,10,Cape Girardeau,837000.0,0.837,2.268,0.141,5.014
111,10,Evansville,882000.0,0.882,2.97,0.0,4.25
112,10,Greenville,693000.0,0.693,1.453,0.156,5.714
113,10,Jonesboro,945000.0,0.945,1.0,4.299,3.713
114,10,Little Rock,2808000.0,2.808,2.713,0.001,4.915
115,10,Owensboro,684000.0,0.684,2.815,0.045,4.334
116,10,Paducah,684000.0,0.684,1.689,0.8,4.084
117,10,Princeton,324000.0,0.324,2.571,0.091,3.833
118,10,Robinson,495000.0,0.495,2.391,0.021,5.368
119,10,St. Louis,3429000.0,3.429,1.657,1.984,1.977
120,10,Wood River,585000.0,0.585,3.095,0.0,4.831
121,11,Cape Girardeau,855000.0,0.855,2.317,0.09,4.91
122,11,Evansville,900000.0,0.9,3.03,0.0,4.493
123,11,Greenville,747000.0,0.747,1.566,0.248,4.964
124,11,Jonesboro,990000.0,0.99,1.0,4.082,3.695
125,11,Little Rock,2745000.0,2.745,2.652,0.002,4.659
126,11,Owensboro,792000.0,0.792,3.259,0.032,4.734
127,11,Paducah,621000.0,0.621,1.533,0.79,3.867
128,11,Princeton,306000.0,0.306,2.429,0.118,3.729
129,11,Robinson,477000.0,0.477,2.304,0.01,5.257
130,11,St. Louis,3303000.0,3.303,1.568,2.067,1.754
131,11,Wood River,549000.0,0.549,2.905,0.0,5.578
132,12,Cape Girardeau,819000.0,0.819,2.22,0.092,5.105
133,12,Evansville,873000.0,0.873,2.939,0.0,4.438
134,12,Greenville,747000.0,0.747,1.566,0.19,5.731
135,12,Jonesboro,963000.0,0.963,1.0,4.158,3.681
136,12,Little Rock,2619000.0,2.619,2.53,0.0,4.674
137,12,Owensboro,765000.0,0.765,3.148,0.013,4.204
138,12,Paducah,630000.0,0.63,1.556,0.873,3.61
139,12,Princeton,288000.0,0.288,2.286,0.114,3.374
140,12,Robinson,459000.0,0.459,2.217,0.008,4.973
141,12,St. Louis,3357000.0,3.357,1.622,2.09,1.858
142,12,Wood River,585000.0,0.585,3.095,0.0,4.838
143,13,Cape Girardeau,828000.0,0.828,2.244,0.087,5.358
144,13,Evansville,900000.0,0.9,3.03,0.0,4.662
145,13,Greenville,702000.0,0.702,1.472,0.156,5.467
146,13,Jonesboro,963000.0,0.963,1.0,4.346,3.792
147,13,Little Rock,2727000.0,2.727,2.635,0.001,4.692
148,13,Owensboro,819000.0,0.819,3.37,0.016,4.654
149,13,Paducah,648000.0,0.648,1.6,1.031,3.46
150,13,Princeton,360000.0,0.36,2.857,0.044,4.091
151,13,Robinson,468000.0,0.468,2.261,0.012,5.486
152,13,St. Louis,3393000.0,3.393,1.639,2.087,1.877
153,13,Wood River,639000.0,0.639,3.381,0.0,4.634
154,14,Cape Girardeau,864000.0,0.864,2.341,0.114,4.874
155,14,Evansville,846000.0,0.846,2.848,0.0,4.334
156,14,Greenville,756000.0,0.756,1.585,0.181,5.662
157,14,Jonesboro,945000.0,0.945,1.01,4.501,3.812
158,14,Little Rock,2691000.0,2.691,2.6,0.001,4.825
159,14,Owensboro,783000.0,0.783,3.222,0.02,4.218
160,14,Paducah,702000.0,0.702,1.733,0.816,3.761
161,14,Princeton,315000.0,0.315,2.5,0.076,3.881
162,14,Robinson,459000.0,0.459,2.217,0.004,5.447
163,14,St. Louis,3330000.0,3.33,1.616,2.007,1.843
164,14,Wood River,594000.0,0.594,3.143,0.0,4.931
165,15,Cape Girardeau,810000.0,0.81,2.195,0.102,5.135
166,15,Evansville,846000.0,0.846,2.848,0.0,4.352
167,15,Greenville,729000.0,0.729,1.528,0.299,5.515
168,15,Jonesboro,954000.0,0.954,1.0,4.309,3.706
169,15,Little Rock,2682000.0,2.682,2.591,0.0,4.662
170,15,Owensboro,756000.0,0.756,3.111,0.022,4.851
171,15,Paducah,666000.0,0.666,1.644,0.822,4.034
172,15,Princeton,315000.0,0.315,2.5,0.052,4.028
173,15,Robinson,486000.0,0.486,2.348,0.015,5.148
174,15,St. Louis,3375000.0,3.375,1.63,2.009,1.773
175,15,Wood River,630000.0,0.63,3.333,0.0,4.894
176,16,Cape Girardeau,810000.0,0.81,2.195,0.113,5.258
177,16,Evansville,783000.0,0.783,2.636,0.0,4.376
178,16,Greenville,729000.0,0.729,1.528,0.138,5.777
179,16,Jonesboro,936000.0,0.936,1.01,4.354,3.571
180,16,Little Rock,2637000.0,2.637,2.548,0.001,4.64
181,16,Owensboro,738000.0,0.738,3.037,0.013,4.413
182,16,Paducah,648000.0,0.648,1.6,0.775,3.887
183,16,Princeton,324000.0,0.324,2.571,0.046,3.782
184,16,Robinson,468000.0,0.468,2.261,0.021,4.98
185,16,St. Louis,3438000.0,3.438,1.647,2.041,1.916
186,16,Wood River,513000.0,0.513,2.714,0.0,4.738
187,17,Cape Girardeau,801000.0,0.801,2.171,0.114,4.741
188,17,Evansville,828000.0,0.828,2.788,0.0,4.544
189,17,Greenville,693000.0,0.693,1.453,0.128,5.546
190,17,Jonesboro,936000.0,0.936,1.0,3.993,3.647
191,17,Little Rock,2691000.0,2.691,2.6,0.002,4.571
192,17,Owensboro,720000.0,0.72,2.963,0.019,4.256
193,17,Paducah,648000.0,0.648,1.6,0.95,3.518
194,17,Princeton,342000.0,0.342,2.714,0.044,4.364
195,17,Robinson,459000.0,0.459,2.217,0.016,5.07
196,17,St. Louis,3375000.0,3.375,1.603,2.065,1.828
197,17,Wood River,621000.0,0.621,3.286,0.0,4.527
198,18,Cape Girardeau,828000.0,0.828,2.244,0.141,5.126
199,18,Evansville,891000.0,0.891,3.0,0.0,4.32
200,18,Greenville,738000.0,0.738,1.547,0.157,5.46
201,18,Jonesboro,954000.0,0.954,1.01,4.503,3.891
202,18,Little Rock,2565000.0,2.565,2.478,0.003,4.558
203,18,Owensboro,747000.0,0.747,3.074,0.023,4.463
204,18,Paducah,693000.0,0.693,1.711,0.995,3.544
205,18,Princeton,324000.0,0.324,2.571,0.125,3.92
206,18,Robinson,477000.0,0.477,2.304,0.008,5.428
207,18,St. Louis,3384000.0,3.384,1.607,1.99,1.825
208,18,Wood River,576000.0,0.576,3.048,0.0,4.26
209,19,Cape Girardeau,792000.0,0.792,2.146,0.096,4.994
210,19,Evansville,846000.0,0.846,2.848,0.0,4.281
211,19,Greenville,747000.0,0.747,1.566,0.2,5.861
212,19,Jonesboro,972000.0,0.972,1.0,4.329,3.584
213,19,Little Rock,2637000.0,2.637,2.548,0.002,4.667
214,19,Owensboro,783000.0,0.783,3.222,0.016,3.993
215,19,Paducah,675000.0,0.675,1.667,0.728,3.964
216,19,Princeton,297000.0,0.297,2.357,0.07,3.785
217,19,Robinson,459000.0,0.459,2.217,0.009,5.519
218,19,St. Louis,3375000.0,3.375,1.616,2.028,1.851
219,19,Wood River,594000.0,0.594,3.143,0.0,4.239
220,20,Cape Girardeau,837000.0,0.837,2.268,0.105,5.254
221,20,Evansville,837000.0,0.837,2.818,0.0,4.497
222,20,Greenville,765000.0,0.765,1.604,0.281,5.348
223,20,Jonesboro,963000.0,0.963,1.009,4.113,3.91
224,20,Little Rock,2691000.0,2.691,2.6,0.001,4.533
225,20,Owensboro,801000.0,0.801,3.296,0.011,4.034
226,20,Paducah,612000.0,0.612,1.511,1.011,3.267
227,20,Princeton,315000.0,0.315,2.5,0.045,3.724
228,20,Robinson,459000.0,0.459,2.217,0.004,5.285
229,20,St. Louis,3366000.0,3.366,1.626,2.03,1.819
230,20,Wood River,576000.0,0.576,3.048,0.0,5.001
231,21,Cape Girardeau,828000.0,0.828,2.244,0.093,5.292
232,21,Evansville,891000.0,0.891,3.0,0.0,4.247
233,21,Greenville,756000.0,0.756,1.585,0.141,5.279
234,21,Jonesboro,918000.0,0.918,1.0,4.16,3.826
235,21,Little Rock,2763000.0,2.763,2.67,0.001,4.799
236,21,Owensboro,774000.0,0.774,3.185,0.009,4.346
237,21,Paducah,693000.0,0.693,1.711,0.863,3.872
238,21,Princeton,297000.0,0.297,2.357,0.104,3.42
239,21,Robinson,486000.0,0.486,2.348,0.001,5.612
240,21,St. Louis,3429000.0,3.429,1.628,2.035,1.879
241,21,Wood River,594000.0,0.594,3.143,0.0,5.032
242,22,Cape Girardeau,783000.0,0.783,2.122,0.081,5.14
243,22,Evansville,873000.0,0.873,2.939,0.0,4.215
244,22,Greenville,693000.0,0.693,1.453,0.124,5.86
245,22,Jonesboro,972000.0,0.972,1.0,4.52,3.645
246,22,Little Rock,2592000.0,2.592,2.504,0.0,4.552
247,22,Owensboro,747000.0,0.747,3.074,0.018,4.563
248,22,Paducah,702000.0,0.702,1.733,0.924,3.702
249,22,Princeton,342000.0,0.342,2.714,0.099,3.749
250,22,Robinson,495000.0,0.495,2.391,0.013,5.225
251,22,St. Louis,3366000.0,3.366,1.619,2.019,1.928
252,22,Wood River,612000.0,0.612,3.238,0.0,5.06
253,23,Cape Girardeau,837000.0,0.837,2.268,0.091,5.144
254,23,Evansville,864000.0,0.864,2.909,0.0,3.977
255,23,Greenville,747000.0,0.747,1.566,0.294,5.319
256,23,Jonesboro,945000.0,0.945,1.0,4.61,3.674
257,23,Little Rock,2610000.0,2.61,2.522,0.002,4.534
258,23,Owensboro,783000.0,0.783,3.222,0.014,4.532
259,23,Paducah,702000.0,0.702,1.733,0.889,3.498
260,23,Princeton,315000.0,0.315,2.5,0.047,3.873
261,23,Robinson,513000.0,0.513,2.478,0.007,5.567
262,23,St. Louis,3366000.0,3.366,1.619,2.056,1.913
263,23,Wood River,549000.0,0.549,2.905,0.0,4.532
264,24,Cape Girardeau,855000.0,0.855,2.317,0.106,4.995
265,24,Evansville,846000.0,0.846,2.848,0.0,4.313
266,24,Greenville,747000.0,0.747,1.566,0.16,5.55
267,24,Jonesboro,972000.0,0.972,1.0,4.251,3.796
268,24,Little Rock,2673000.0,2.673,2.583,0.0,4.691
269,24,Owensboro,756000.0,0.756,3.111,0.032,4.314
270,24,Paducah,666000.0,0.666,1.644,0.916,3.711
271,24,Princeton,315000.0,0.315,2.5,0.082,4.186
272,24,Robinson,468000.0,0.468,2.261,0.012,5.127
