,Iteration,Group,Flow,Flow_MMgal,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time
100,9,Evansville,1107000.0,1.107,3.844,0.0,6.287
101,9,Greenville,900000.0,0.9,1.961,0.192,7.819
102,9,Jonesboro,1323000.0,1.323,1.028,5.417,3.913
103,9,Little Rock,3636000.0,3.636,3.673,0.0,6.437
104,9,Owensboro,1035000.0,1.035,4.423,0.015,6.698
105,9,Paducah,891000.0,0.891,2.302,0.851,5.454
106,9,Princeton,477000.0,0.477,3.786,0.053,5.799
107,9,Robinson,630000.0,0.63,3.182,0.01,7.555
108,9,St. Louis,4491000.0,4.491,2.208,2.264,2.449
109,9,Wood River,774000.0,0.774,4.3,0.0,6.988
110,10,Cape Girardeau,1071000.0,1.071,3.051,0.091,7.181
111,10,Evansville,1116000.0,1.116,3.875,0.0,5.885
112,10,Greenville,945000.0,0.945,2.059,0.156,8.315
113,10,Jonesboro,1323000.0,1.323,1.028,5.57,4.036
114,10,Little Rock,3519000.0,3.519,3.555,0.002,6.586
115,10,Owensboro,963000.0,0.963,4.115,0.021,5.916
116,10,Paducah,864000.0,0.864,2.233,0.882,5.411
117,10,Princeton,423000.0,0.423,3.357,0.091,4.813
118,10,Robinson,594000.0,0.594,3.0,0.003,7.08
119,10,St. Louis,4536000.0,4.536,2.23,2.248,2.523
120,10,Wood River,765000.0,0.765,4.25,0.0,6.869
121,11,Cape Girardeau,1080000.0,1.08,3.077,0.081,7.411
122,11,Evansville,1098000.0,1.098,3.813,0.0,5.847
123,11,Greenville,972000.0,0.972,2.118,0.176,7.946
124,11,Jonesboro,1332000.0,1.332,1.021,5.744,3.75
125,11,Little Rock,3510000.0,3.51,3.545,0.0,6.472
126,11,Owensboro,1008000.0,1.008,4.308,0.015,6.437
127,11,Paducah,900000.0,0.9,2.326,0.743,5.468
128,11,Princeton,468000.0,0.468,3.714,0.082,4.851
129,11,Robinson,693000.0,0.693,3.5,0.006,8.184
130,11,St. Louis,4608000.0,4.608,2.265,2.254,2.478
131,11,Wood River,765000.0,0.765,4.25,0.0,6.639
132,12,Cape Girardeau,1125000.0,1.125,3.205,0.096,6.868
133,12,Evansville,1125000.0,1.125,3.906,0.0,5.839
134,12,Greenville,972000.0,0.972,2.118,0.058,8.467
135,12,Jonesboro,1305000.0,1.305,1.014,5.436,3.812
