,Iteration,Gates,Bays,Station_Dist,Truck_Speed,Flow,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time,Gate_Time,Bay_Time,Truck_HoS,Fleet
73,12,1,1,25,35,180000.0,1.0,4.5,0.751,7,35,14,50
74,12,1,1,25,45,189000.0,1.0,4.382,0.598,7,35,14,50
75,12,1,1,25,55,189000.0,1.0,4.677,0.495,7,35,14,50
76,12,1,1,25,65,189000.0,1.0,4.683,0.434,7,35,14,50
77,12,1,1,25,75,180000.0,1.0,4.72,0.358,7,35,14,50
78,13,1,1,25,25,198000.0,1.0,4.278,1.13,7,35,14,50
79,13,1,1,25,35,180000.0,1.053,4.382,0.925,7,35,14,50
80,13,1,1,25,45,198000.0,1.0,4.526,0.649,7,35,14,50
81,13,1,1,25,55,198000.0,1.0,4.785,0.531,7,35,14,50
82,13,1,1,25,65,198000.0,1.048,4.437,0.468,7,35,14,50
83,13,1,1,25,75,189000.0,1.0,4.499,0.417,7,35,14,50
84,14,1,1,25,25,180000.0,1.053,4.408,1.222,7,35,14,50
85,14,1,1,25,35,189000.0,1.05,4.729,0.859,7,35,14,50
86,14,1,1,25,45,180000.0,1.053,4.465,0.68,7,35,14,50
87,14,1,1,25,55,180000.0,1.0,4.696,0.549,7,35,14,50
88,14,1,1,25,65,189000.0,1.05,4.377,0.461,7,35,14,50
89,14,1,1,25,75,189000.0,1.05,4.338,0.405,7,35,14,50
90,15,1,1,25,25,171000.0,1.0,4.759,0.976,7,35,14,50
91,15,1,1,25,35,189000.0,1.105,4.149,0.826,7,35,14,50
92,15,1,1,25,45,189000.0,1.05,4.566,0.606,7,35,14,50
93,15,1,1,25,55,189000.0,1.05,4.65,0.505,7,35,14,50
94,15,1,1,25,65,189000.0,1.05,4.743,0.437,7,35,14,50
95,15,1,1,25,75,189000.0,1.05,4.445,0.377,7,35,14,50
96,16,1,1,25,25,189000.0,1.0,4.259,0.859,7,35,14,50
97,16,1,1,25,35,189000.0,1.0,4.503,0.631,7,35,14,50
98,16,1,1,25,45,189000.0,1.0,4.629,0.491,7,35,14,50
99,16,1,1,25,55,189000.0,1.0,4.495,0.404,7,35,14,50
100,16,1,1,25,65,189000.0,1.05,4.378,0.358,7,35,14,50
101,16,1,1,25,75,189000.0,1.0,4.984,0.294,7,35,14,50
102,17,1,1,25,25,189000.0,1.105,4.404,0.981,7,35,14,50
103,17,1,1,25,35,189000.0,1.05,4.509,0.679,7,35,14,50
104,17,1,1,25,45,180000.0,1.053,4.55,0.512,7,35,14,50
105,17,1,1,25,55,198000.0,1.158,4.083,0.465,7,35,14,50
106,17,1,1,25,65,189000.0,1.105,4.65,0.391,7,35,14,50
107,17,1,1,25,75,189000.0,1.05,4.925,0.341,7,35,14,50
108,18,1,1,25,25,180000.0,1.0,4.474,1.097,7,35,14,50
109,18,1,1,25,35,180000.0,1.053,4.581,0.809,7,35,14,50
110,18,1,1,25,45,180000.0,1.111,4.131,0.646,7,35,14,50
111,18,1,1,25,55,180000.0,1.0,4.76,0.464,7,35,14,50
112,18,1,1,25,65,189000.0,1.105,4.571,0.443,7,35,14,50
113,18,1,1,25,75,189000.0,1.05,4.562,0.38,7,35,14,50
114,19,1,1,25,25,189000.0,1.0,4.64,0.87,7,35,14,50
115,19,1,1,25,35,189000.0,1.0,4.576,0.632,7,35,14,50
116,19,1,1,25,45,189000.0,1.0,4.773,0.515,7,35,14,50
117,19,1,1,25,55,189000.0,1.0,4.71,0.424,7,35,14,50
118,19,1,1,25,65,189000.0,1.05,4.347,0.378,7,35,14,50
119,19,1,1,25,75,198000.0,1.048,4.475,0.317,7,35,14,50
