,Gates,Bays,Station_Dist,Parameter,Value,p-value,DES_Mono,Avg_OFC
5589,2,9,50,HoS,16,3.4397809783941643e-17,True,1.7106000000000001
5590,2,9,50,HoS,17,9.925279274226635e-19,True,1.8497999999999994
5591,2,9,50,HoS,18,1.2120966956270159e-23,True,1.9910999999999996
5592,2,9,50,Fleet,25,1.1939544419844876e-53,True,0.81
5593,2,9,50,Fleet,50,2.975186495506209e-55,True,1.4321999999999997
5594,2,9,50,Fleet,75,4.1838071812165166e-23,True,1.5792000000000002
5595,2,9,50,Fleet,100,0.0002907040374037019,True,1.6085999999999996
5596,2,9,50,Fleet,125,0.0020073471875726853,True,1.6301999999999996
5597,2,9,50,Fleet,150,0.612054879696135,True,1.6328999999999998
5598,2,9,50,Fleet,175,0.7661725894163263,True,1.6343999999999996
5599,2,9,50,Fleet,200,0.9563964438014214,False,1.6340999999999999
5600,2,9,100,Gate,1,0.27601001709306733,True,1.2117
5601,2,9,100,Gate,2,0.9574310802518082,True,1.1982000000000002
5602,2,9,100,Gate,3,0.5156974000222401,True,1.1976000000000002
5603,2,9,100,Gate,4,0.7429831371051547,True,1.1904000000000001
5604,2,9,100,Gate,5,0.5395516942826127,True,1.1862000000000001
5605,2,9,100,Gate,6,0.5180651215308683,True,1.1784000000000001
5606,2,9,100,Gate,7,0.1552732793144536,True,1.1709
5607,2,9,100,Gate,8,0.008362616670189702,True,1.1541000000000001
5608,2,9,100,Gate,9,4.086006839761923e-05,True,1.1240999999999999
5609,2,9,100,Gate,10,9.998646995377466e-39,True,1.0794000000000001
5610,2,9,100,Gate,15,4.642648311225922e-36,True,0.7772999999999999
5611,2,9,100,Bay,15.0,0.031763466792621216,True,1.2825
5612,2,9,100,Bay,17.5,0.591668377440209,True,1.2570000000000001
5613,2,9,100,Bay,20.0,0.1172294135965,True,1.251
5614,2,9,100,Bay,22.5,0.5919289575302978,True,1.2327
5615,2,9,100,Bay,25.0,0.011486055201402525,True,1.2263999999999995
5616,2,9,100,Bay,27.5,0.5892419178001007,True,1.1955
5617,2,9,100,Bay,30.0,0.05627044170488903,True,1.1889000000000003
5618,2,9,100,Bay,32.5,0.5365476951225099,True,1.1682
5619,2,9,100,Bay,35.0,0.0013119673939781297,True,1.1622000000000001
5620,2,9,100,Bay,37.5,0.22431710532897584,True,1.1208
5621,2,9,100,Bay,40.0,0.006763521496898165,True,1.1045999999999998
5622,2,9,100,Bay,42.5,0.04959179998851052,True,1.0736999999999999
5623,2,9,100,Speed,35,1.1016651707920353e-23,True,1.0211999999999999
5624,2,9,100,Speed,45,1.0105666640182589e-19,True,1.1709
5625,2,9,100,Speed,55,5.364015948601797e-15,True,1.2794999999999999
5626,2,9,100,Speed,65,2.373083154513498e-08,True,1.3557000000000001
5627,2,9,100,Speed,75,0.0003251922858317294,True,1.4016
5628,2,9,100,HoS,15,1.237767766608491e-13,True,1.2732
5629,2,9,100,HoS,16,3.140429557994428e-15,True,1.3970999999999998
5630,2,9,100,HoS,17,3.2770730800803375e-11,True,1.4960999999999998
5631,2,9,100,HoS,18,2.7810402382196554e-12,True,1.6233
5632,2,9,100,Fleet,25,1.200634382638892e-41,True,0.5943
5633,2,9,100,Fleet,50,1.0133573424219114e-45,True,1.1598
5634,2,9,100,Fleet,75,4.1655815357442244e-33,True,1.4699999999999998
5635,2,9,100,Fleet,100,2.5270514306057663e-08,True,1.5291000000000001
5636,2,9,100,Fleet,125,0.01831464213940589,True,1.5471000000000004
5637,2,9,100,Fleet,150,0.3414065692435093,True,1.5531000000000006
5638,2,9,100,Fleet,175,0.5133536786869488,True,1.5570000000000002
5639,2,9,100,Fleet,200,0.8148419030935016,False,1.5558000000000003
5640,2,9,150,Gate,1,0.5643432593705809,True,0.9615000000000001
5641,2,9,150,Gate,2,0.8659186998391365,True,0.9534
5642,2,9,150,Gate,3,0.7301691423553183,True,0.9510000000000001
5643,2,9,150,Gate,4,0.32953394291399685,True,0.9465000000000001
5644,2,9,150,Gate,5,0.8034288292671382,True,0.9339000000000001
5645,2,9,150,Gate,6,0.854477122739298,True,0.9306
5646,2,9,150,Gate,7,0.6359569331049755,True,0.9282
5647,2,9,150,Gate,8,0.287984388428385,True,0.9225
5648,2,9,150,Gate,9,0.39359074762787716,True,0.9101999999999999
5649,2,9,150,Gate,10,7.424974321999923e-19,True,0.8996999999999999
5650,2,9,150,Gate,15,1.0059497779470468e-35,True,0.7385999999999998
5651,2,9,150,Bay,15.0,0.6495661790613284,False,0.9963
5652,2,9,150,Bay,17.5,0.15115355984492074,True,1.0026
5653,2,9,150,Bay,20.0,0.5483515802956838,True,0.9834000000000002
