,Iteration,Group,Flow,Flow_MMgal,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time
101,9,Jonesboro,864000.0,0.864,2.526,0.054,5.355
102,9,Little Rock,2583000.0,2.583,2.657,0.0,4.716
103,9,Memphis,3330000.0,3.33,2.202,0.684,4.133
104,9,Owensboro,945000.0,0.945,3.0,0.041,4.26
105,9,Paducah,630000.0,0.63,1.628,0.832,3.666
106,9,Princeton,351000.0,0.351,1.3,2.529,1.889
107,9,Robinson,504000.0,0.504,2.24,0.013,5.467
108,9,St. Louis,3321000.0,3.321,1.662,1.957,1.815
109,9,Wood River,585000.0,0.585,3.25,0.0,4.916
110,10,Cape Girardeau,801000.0,0.801,2.282,0.095,5.247
111,10,Greenville,531000.0,0.531,2.458,0.018,5.504
112,10,Jonesboro,783000.0,0.783,2.289,0.04,5.507
113,10,Little Rock,2538000.0,2.538,2.611,0.001,4.767
114,10,Memphis,3204000.0,3.204,2.119,0.726,3.899
115,10,Owensboro,900000.0,0.9,2.857,0.041,4.276
116,10,Paducah,684000.0,0.684,1.767,0.673,3.866
117,10,Princeton,351000.0,0.351,1.3,2.579,1.854
118,10,Robinson,468000.0,0.468,2.08,0.013,5.417
119,10,St. Louis,3384000.0,3.384,1.694,1.884,1.919
120,10,Wood River,549000.0,0.549,3.05,0.0,4.578
121,11,Cape Girardeau,756000.0,0.756,2.154,0.11,4.872
122,11,Greenville,495000.0,0.495,2.292,0.021,4.366
123,11,Jonesboro,801000.0,0.801,2.342,0.024,5.558
124,11,Little Rock,2574000.0,2.574,2.648,0.0,4.626
125,11,Memphis,3195000.0,3.195,2.113,0.774,3.722
126,11,Owensboro,954000.0,0.954,3.029,0.035,4.604
127,11,Paducah,666000.0,0.666,1.721,0.681,3.829
128,11,Princeton,360000.0,0.36,1.29,2.611,1.773
129,11,Robinson,441000.0,0.441,1.96,0.01,5.538
130,11,St. Louis,3402000.0,3.402,1.688,1.789,2.04
131,11,Wood River,531000.0,0.531,2.95,0.0,4.746
132,12,Cape Girardeau,765000.0,0.765,2.179,0.085,5.078
