,Iteration,Group,Flow,Flow_MMgal,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time
101,9,Greenville,504000.0,0.504,2.333,0.004,5.121
102,9,Jonesboro,792000.0,0.792,2.316,0.024,5.28
103,9,Little Rock,2556000.0,2.556,2.63,0.001,4.808
104,9,Memphis,3231000.0,3.231,2.137,0.678,4.031
105,9,Owensboro,738000.0,0.738,3.154,0.008,4.804
106,9,Paducah,639000.0,0.639,1.69,0.778,3.572
107,9,Princeton,324000.0,0.324,2.571,0.136,3.474
108,9,Robinson,459000.0,0.459,2.318,0.011,5.619
109,9,Wood River,3393000.0,3.393,1.604,1.933,2.647
110,10,Cape Girardeau,882000.0,0.882,2.042,0.165,5.189
111,10,Evansville,828000.0,0.828,2.875,0.0,3.992
112,10,Greenville,513000.0,0.513,2.375,0.014,4.952
113,10,Jonesboro,747000.0,0.747,2.184,0.014,5.24
114,10,Little Rock,2529000.0,2.529,2.602,0.002,4.633
115,10,Memphis,3339000.0,3.339,2.208,0.752,3.843
116,10,Owensboro,765000.0,0.765,3.269,0.02,4.445
117,10,Paducah,711000.0,0.711,1.881,0.667,3.785
118,10,Princeton,288000.0,0.288,2.286,0.12,3.418
119,10,Robinson,468000.0,0.468,2.364,0.014,5.345
120,10,Wood River,3348000.0,3.348,1.597,1.998,2.606
121,11,Cape Girardeau,954000.0,0.954,2.208,0.224,4.726
122,11,Evansville,801000.0,0.801,2.781,0.0,4.308
123,11,Greenville,513000.0,0.513,2.375,0.013,5.361
124,11,Jonesboro,828000.0,0.828,2.421,0.029,5.791
125,11,Little Rock,2466000.0,2.466,2.537,0.0,4.583
126,11,Memphis,3213000.0,3.213,2.125,0.676,3.903
127,11,Owensboro,774000.0,0.774,3.308,0.015,4.137
128,11,Paducah,684000.0,0.684,1.81,0.732,3.781
129,11,Princeton,315000.0,0.315,2.5,0.069,3.6
130,11,Robinson,450000.0,0.45,2.273,0.003,5.62
131,11,Wood River,3321000.0,3.321,1.57,2.029,2.421
132,12,Cape Girardeau,927000.0,0.927,2.146,0.176,4.789
133,12,Evansville,774000.0,0.774,2.688,0.0,4.196
134,12,Greenville,513000.0,0.513,2.375,0.01,4.926
135,12,Jonesboro,792000.0,0.792,2.316,0.036,5.282
136,12,Little Rock,2511000.0,2.511,2.583,0.0,4.429
137,12,Memphis,3240000.0,3.24,2.143,0.713,3.921
138,12,Owensboro,702000.0,0.702,3.0,0.013,4.361
139,12,Paducah,657000.0,0.657,1.738,0.729,3.608
140,12,Princeton,306000.0,0.306,2.429,0.067,4.01
141,12,Robinson,486000.0,0.486,2.455,0.019,5.526
142,12,Wood River,3294000.0,3.294,1.584,1.989,2.534
143,13,Cape Girardeau,936000.0,0.936,2.167,0.183,4.841
144,13,Evansville,810000.0,0.81,2.813,0.0,4.618
145,13,Greenville,522000.0,0.522,2.417,0.017,4.814
146,13,Jonesboro,720000.0,0.72,2.105,0.021,5.081
147,13,Little Rock,2574000.0,2.574,2.648,0.0,4.515
148,13,Memphis,3312000.0,3.312,2.19,0.691,3.975
149,13,Owensboro,729000.0,0.729,3.115,0.013,4.607
150,13,Paducah,711000.0,0.711,1.881,0.56,4.224
151,13,Princeton,342000.0,0.342,2.714,0.1,3.588
